id,created_at,changed_at,user,batch,credits,state,type
29766,2025-03-30 05:39:09.812666+00:00,2025-04-03 07:24:06.251725+00:00,STUD82536,293,1052,PAID,MONEY
29765,2025-03-29 19:29:01.448218+00:00,2025-04-03 07:24:06.375960+00:00,STUD41722,293,1079,PAID,MONEY
29764,2025-03-29 19:22:24.727211+00:00,2025-04-03 07:24:06.507083+00:00,STUD45751,293,513,PAID,MONEY
29763,2025-03-29 19:20:49.842703+00:00,2025-04-03 07:24:06.605600+00:00,STUD71541,293,550,PAID,MONEY
29762,2025-03-29 19:13:05.382295+00:00,2025-04-03 07:24:06.703692+00:00,STUD87444,293,796,PAID,MONEY
29761,2025-03-29 18:46:34.172824+00:00,2025-04-03 07:24:06.790585+00:00,STUD9401,293,511,PAID,MONEY
29760,2025-03-29 18:08:51.946499+00:00,2025-04-03 07:24:06.890131+00:00,STUD83043,293,561,PAID,MONEY
29759,2025-03-29 17:25:12.152148+00:00,2025-04-03 07:24:07.010986+00:00,STUD8392,293,502,PAID,MONEY
29758,2025-03-29 17:04:46.816292+00:00,2025-04-03 05:32:05.192974+00:00,STUD96684,None,0,CANCELLED,MONEY
29757,2025-03-29 16:36:35.939615+00:00,2025-04-03 07:24:07.102227+00:00,STUD99545,293,510,PAID,MONEY
29756,2025-03-29 16:24:49.554555+00:00,2025-04-03 07:24:07.198253+00:00,STUD67403,293,706,PAID,MONEY
29755,2025-03-29 12:41:38.057180+00:00,2025-04-03 05:32:12.142931+00:00,STUD87257,None,0,CANCELLED,MONEY
29754,2025-03-29 12:37:56.811398+00:00,2025-04-03 07:24:07.304541+00:00,STUD76629,293,525,PAID,MONEY
29753,2025-03-29 12:10:48.358644+00:00,2025-04-03 07:24:07.398839+00:00,STUD17527,293,503,PAID,MONEY
29752,2025-03-29 12:09:41.773459+00:00,2025-04-03 07:24:07.488319+00:00,STUD98111,293,1006,PAID,MONEY
29751,2025-03-29 11:01:31.897858+00:00,2025-04-03 07:24:07.575875+00:00,STUD21688,293,504,PAID,MONEY
29750,2025-03-29 10:49:00.887849+00:00,2025-04-03 07:24:07.670181+00:00,STUD84562,293,503,PAID,MONEY
29749,2025-03-29 10:47:16.417350+00:00,2025-04-03 07:24:07.763596+00:00,STUD19622,293,500,PAID,MONEY
29748,2025-03-29 10:44:34.004221+00:00,2025-04-03 07:24:07.874722+00:00,STUD26577,293,502,PAID,MONEY
29747,2025-03-29 10:42:43.657220+00:00,2025-04-03 07:24:07.971044+00:00,STUD37469,293,502,PAID,MONEY
29746,2025-03-29 10:39:34.967803+00:00,2025-04-03 07:24:08.072008+00:00,STUD71661,293,600,PAID,MONEY
29745,2025-03-29 08:27:50.667376+00:00,2025-04-03 07:24:08.181392+00:00,STUD20400,293,588,PAID,MONEY
29744,2025-03-29 07:17:53.789202+00:00,2025-04-03 07:24:08.266423+00:00,STUD51138,293,529,PAID,MONEY
29743,2025-03-28 19:21:17.872073+00:00,2025-04-03 07:24:08.370669+00:00,STUD54955,293,506,PAID,MONEY
29742,2025-03-28 18:36:01.101637+00:00,2025-04-03 07:24:08.460566+00:00,STUD57652,293,504,PAID,MONEY
29741,2025-03-28 16:54:10.771561+00:00,2025-04-03 07:24:08.579186+00:00,STUD2320,293,510,PAID,MONEY
29740,2025-03-28 16:33:28.060769+00:00,2025-04-03 07:24:08.670426+00:00,STUD73260,293,1251,PAID,MONEY
29739,2025-03-28 15:05:42.326609+00:00,2025-04-03 07:24:08.773333+00:00,STUD72179,293,507,PAID,MONEY
29738,2025-03-28 15:05:10.717659+00:00,2025-04-03 07:24:08.882249+00:00,STUD75671,293,514,PAID,MONEY
29737,2025-03-28 13:36:15.546385+00:00,2025-04-03 07:24:08.972258+00:00,STUD20680,293,503,PAID,MONEY
29736,2025-03-28 13:21:43.877538+00:00,2025-04-03 07:24:09.089940+00:00,STUD9032,293,514,PAID,MONEY
29735,2025-03-28 09:21:09.112078+00:00,2025-04-03 07:24:09.208585+00:00,STUD98807,293,503,PAID,MONEY
29734,2025-03-28 09:03:31.577885+00:00,2025-04-03 07:24:09.293370+00:00,STUD43819,293,630,PAID,MONEY
29733,2025-03-28 08:54:18.577427+00:00,2025-04-03 07:24:09.378098+00:00,STUD62871,293,503,PAID,MONEY
29732,2025-03-28 08:42:50.056234+00:00,2025-04-03 07:52:49.740079+00:00,STUD45519,293,1036,PAID,MONEY
29731,2025-03-28 08:41:40.100082+00:00,2025-04-03 07:24:09.468054+00:00,STUD39486,293,1019,PAID,MONEY
29730,2025-03-28 08:25:15.332131+00:00,2025-04-03 07:24:09.564713+00:00,STUD12467,293,517,PAID,MONEY
29729,2025-03-28 07:43:41.729600+00:00,2025-04-03 07:24:09.657636+00:00,STUD22544,293,502,PAID,MONEY
29728,2025-03-28 07:39:30.078995+00:00,2025-04-03 07:24:09.748866+00:00,STUD99479,293,511,PAID,MONEY
29727,2025-03-28 07:39:30.072886+00:00,2025-04-03 07:24:09.853425+00:00,STUD99479,293,511,PAID,MONEY
29726,2025-03-28 07:23:21.921678+00:00,2025-04-03 07:24:09.955434+00:00,STUD349,293,501,PAID,MONEY
29725,2025-03-28 07:21:01.294554+00:00,2025-04-03 07:24:10.055009+00:00,STUD13296,293,503,PAID,MONEY
29724,2025-03-28 07:03:31.541640+00:00,2025-04-03 07:24:10.153858+00:00,STUD1899,293,501,PAID,MONEY
29723,2025-03-28 07:01:02.971432+00:00,2025-04-02 08:25:52.734092+00:00,STUD81521,None,565,APPROVED,MEDICINS_SANS_FRONTIERS
29722,2025-03-28 07:00:03.176917+00:00,2025-04-03 07:24:10.245825+00:00,STUD85299,293,500,PAID,MONEY
29721,2025-03-28 06:32:40.106527+00:00,2025-04-03 07:24:10.369831+00:00,STUD93668,293,648,PAID,MONEY
29720,2025-03-28 06:25:50.761911+00:00,2025-04-03 07:24:10.468483+00:00,STUD77156,293,518,PAID,MONEY
29719,2025-03-28 05:55:58.630453+00:00,2025-04-03 07:24:10.559185+00:00,STUD52194,293,817,PAID,MONEY
29718,2025-03-28 05:50:44.759218+00:00,2025-04-03 07:24:10.652268+00:00,STUD2767,293,501,PAID,MONEY
29717,2025-03-28 02:51:33.405177+00:00,2025-04-03 07:24:10.743383+00:00,STUD96520,293,501,PAID,MONEY
