iter	Accuracy	CrossEntropy
191	0.9180680826	0.22963426
192	0.9180971778	0.2291806832
193	0.9182426535	0.2288335126
194	0.9186790806	0.2280317136
195	0.9185627	0.2275622018
196	0.9187081757	0.2269771446
197	0.9188536514	0.2266033872
198	0.9191446029	0.2261993867
199	0.9194064591	0.2256956324
200	0.9196683154	0.2252497456
201	0.9198719814	0.2245835718
202	0.9199010765	0.2242548486
203	0.9201629328	0.223829646
204	0.9204538842	0.2234424429
205	0.9205993599	0.2229774188
206	0.9207448356	0.2224900306
207	0.921239453	0.2220889214
208	0.9214140239	0.2216174636
209	0.9217340704	0.2210269517
210	0.9221704975	0.2202895113
211	0.9226069246	0.2198188143
212	0.9230433518	0.2193441198
213	0.9232179226	0.2190662707
214	0.9232179226	0.2186577706
215	0.923305208	0.21818058
216	0.9234797789	0.2177737422
217	0.9236252546	0.2174276981
218	0.9237998254	0.217077831
219	0.9239743963	0.2167450326
220	0.9242362525	0.2164004009
221	0.9242362525	0.2156200516
222	0.9244108234	0.215016334
223	0.9246144894	0.2147074471
224	0.9245853942	0.2141521104
225	0.9251382019	0.2135639169
226	0.9252836776	0.2132969946
227	0.9256037242	0.2129129022
228	0.9258655804	0.2123545168
229	0.9259528659	0.2119817324
230	0.9260110562	0.2114167464
231	0.9261274367	0.2109751669
232	0.9266220541	0.2104493682
233	0.9268257201	0.2098243469
234	0.9267384347	0.209315255
235	0.9269130055	0.2088830005
236	0.9272621472	0.2083263429
237	0.9276403841	0.2079415845
238	0.928047716	0.207459185
239	0.9281931917	0.2068971806
240	0.9284841431	0.2063639982
241	0.9288332848	0.2059545566
242	0.9289496654	0.205516798
243	0.9291824265	0.2051115087
244	0.9296188537	0.2045730308
245	0.9297352342	0.2040226644
246	0.9301425662	0.2034578026
247	0.9307535642	0.2028427567
248	0.9307535642	0.202554652
249	0.9310445156	0.2022565963
250	0.9311027058	0.2019721894
251	0.9310736107	0.2015153188
252	0.9315100378	0.2010170323
253	0.9316264184	0.2005526867
254	0.9315682281	0.20017269
255	0.9317137038	0.1997027836
256	0.931742799	0.1993833983
257	0.9318882747	0.1989643155
258	0.9323537969	0.1985030571
259	0.9324701775	0.1980123961
260	0.932790224	0.1976436896
261	0.9328484143	0.197419161
262	0.9331684609	0.19710956
263	0.933197556	0.1966277994
264	0.9333430317	0.196097086
265	0.9335466977	0.1955389894
266	0.9336630783	0.1950714656
267	0.9339540297	0.1944838592
268	0.9341867908	0.1941228673
269	0.9342449811	0.1938378959
270	0.9344195519	0.1934933473
271	0.9346232179	0.1930800542
272	0.9347105033	0.1927085278
273	0.9348268839	0.1924384608
274	0.935263311	0.1918260017
275	0.935466977	0.1913894782
276	0.9355833576	0.1910465413
277	0.9360197847	0.1906804126
278	0.9361652604	0.1902259468
279	0.936281641	0.1897360641
280	0.9366307827	0.1891741008
281	0.9366598778	0.1885911571
282	0.9367471632	0.1881931662
283	0.9372126855	0.1877793259
284	0.9372999709	0.1874155251
285	0.9370381146	0.1872050116
286	0.9373872563	0.1868778385
287	0.9376491126	0.1863352776
288	0.9377073029	0.1861017611
289	0.93814373	0.1857981045
290	0.9381146349	0.1853948112
291	0.9386383474	0.1848642297
292	0.9387256328	0.1844642092
293	0.9390747745	0.1839495231
294	0.9392784405	0.1834808565
295	0.9393366308	0.1830102516
296	0.9396566773	0.1827232366
297	0.9399185336	0.1824140644
298	0.940005819	0.1819255451
299	0.9401512947	0.1816861018
300	0.9403840559	0.18132835
301	0.9405295316	0.1811132436
302	0.9408495781	0.1806595331
303	0.9409659587	0.1803390962
304	0.9411987198	0.1799033963
305	0.9414023858	0.1795738454
306	0.9416933372	0.1792477017
307	0.9418388129	0.1789376664
308	0.942071574	0.1785225095
309	0.9421297643	0.1781773117
310	0.9423625255	0.1778442312
311	0.9426243817	0.1776452609
312	0.9428571429	0.177269238
313	0.9431771894	0.1769637319
314	0.9432062846	0.1767172649
315	0.94329357	0.1762349852
316	0.9434681408	0.1758639521
317	0.9434099505	0.1754885969
318	0.9435263311	0.1751105703
319	0.9438463777	0.1747161174
320	0.9439627582	0.1742337315
321	0.9439627582	0.1739863969
322	0.9441664242	0.1737525119
323	0.9445155659	0.1734780906
324	0.9445737562	0.1731011319
325	0.9448647076	0.1728773235
326	0.9448647076	0.172514355
327	0.9448938027	0.1720427968
328	0.9451265639	0.1715328322
329	0.9453302299	0.171254701
330	0.9455920861	0.1709300383
331	0.9456502764	0.1707118414
332	0.9457084667	0.170442103
333	0.9458539424	0.1700256165
334	0.9458539424	0.1697877518
335	0.9459412278	0.1695346795
336	0.9462030841	0.1691945718
337	0.9464649404	0.1688964083
338	0.9467558918	0.1686707294
339	0.9468431772	0.1684083682
340	0.9471341286	0.1679442536
341	0.9470468432	0.1675963701
342	0.9473668897	0.1673150336
343	0.9473959849	0.1669777708
344	0.9475996509	0.1666527055
345	0.9477742217	0.1663797308
346	0.9481233634	0.1661254726
347	0.9483270294	0.1658302834
348	0.9486761711	0.1654809176
349	0.9489380273	0.1651076498
350	0.9491125982	0.1648386653
351	0.9489089322	0.1644705703
352	0.9494035496	0.1639937661
353	0.9496072156	0.1638006499
354	0.9497817864	0.1634762627
355	0.9497235962	0.1631815156
356	0.9497235962	0.1629768205
357	0.9498690719	0.1628277936
358	0.9500436427	0.1624440576
359	0.9504218795	0.1621176419
360	0.950509165	0.1619136251
361	0.9507710212	0.1615446661
362	0.9513238289	0.1611448948
363	0.9515856852	0.1609492505
364	0.9517311609	0.1607841543
365	0.9517020658	0.160401149
366	0.9519348269	0.1600525625
367	0.9522548734	0.1597061111
368	0.9525167297	0.159363979
369	0.9528367763	0.159049709
370	0.9530113471	0.1587664266
371	0.9530695374	0.1584765274
372	0.9532732034	0.1582149177
373	0.9535641548	0.1579127739
374	0.9536514402	0.1576252183
375	0.9536805354	0.1573350092
376	0.9540878673	0.1570579016
377	0.9541460576	0.1568181082
378	0.9541169625	0.1565206245
379	0.954233343	0.1561550965
380	0.9547570556	0.155784627
381	0.9549316264	0.1555839459
382	0.9547279604	0.1554126217
383	0.955048007	0.1551608198
384	0.9552807681	0.1548331993
385	0.9554844341	0.154585752
386	0.9556299098	0.1542706329
387	0.9555717195	0.154120342
388	0.9556008147	0.1538958462
389	0.9557753855	0.153690168
390	0.9560372418	0.1534550944
391	0.9561245272	0.1531406087
392	0.9562409078	0.1530074419
393	0.9566482397	0.1528170906
394	0.9565900495	0.1526368661
395	0.9568810009	0.1523199104
396	0.9570555717	0.1521076
397	0.9572301426	0.1518147884
398	0.9573465231	0.1517359536
399	0.9575501891	0.1513717645
400	0.9575792843	0.1511314567
401	0.9576083794	0.1509294585
402	0.9577538551	0.1505847889
403	0.9579866162	0.1501991007
404	0.9579575211	0.1499834956
405	0.9582775676	0.149746359
406	0.9585103288	0.149443257
407	0.958772185	0.149088828
408	0.9588885656	0.1488348426
409	0.9590922316	0.1486280026
410	0.9592377073	0.1484483113
411	0.9593249927	0.1482709053
412	0.9592958976	0.1480391006
413	0.9594995636	0.1477551574
414	0.9596741344	0.1474588312
415	0.9597323247	0.1471572327
416	0.9599359907	0.1467969425
417	0.9599359907	0.1465239717
418	0.9603724178	0.1462212326
419	0.9604015129	0.145832628
420	0.9605469887	0.1455842311
421	0.9608088449	0.145224573
422	0.9608961303	0.1450662205
423	0.9610707012	0.144786193
424	0.9614198429	0.1444942658
425	0.9613034623	0.1441366244
426	0.9613907477	0.1439170646
427	0.9615653186	0.1437267584
428	0.9617107943	0.1434757831
429	0.9617107943	0.1431738976
430	0.962059936	0.1428336947
431	0.9621472214	0.1426239151
432	0.9621181263	0.1424033804
433	0.9621181263	0.1420636647
434	0.962263602	0.1418358814
435	0.9625254582	0.1415471786
436	0.9627291242	0.1412643226
437	0.9628164097	0.1411251089
438	0.9630200756	0.1408059787
439	0.9631364562	0.1405384104
