table_source,attibute,description,question,,,,,,,
PAYMENTS,id,,,,,,,,,
,created_at,,,,,,,,,Don't use in model
,changed_at,,,,,,,,,Use in model
,user,,,,,,,,,Don't understand
,batch,,,,,,,,,
,credits_x,,,,,,,,,
,state,,,,,,,,,
,type,,,,,,,,,
CREDITS,credits_y,,,,,,,,,
,is_active,,,,,,,,,
,is_verified,,,,,,,,,
,is_locked,,,,,,,,,
,wage,,,,,,,,,
,user_id,,,,,,,,,
ATLAS CECHU,all_intro-2022,,,,,,,,,
,atlas_vzorek-2023,,,,,,,,,
,atlas_vzorek-2024,,,,,,,,,
,all_intro-trendaro_panel_all,,,,,,,,,
,sex-woman,,,,,,,,,
,sex-man,,,,,,,,,
,age-15_17,,,,,,,,,
,age-18_24,,,,,,,,,
,age-25_34,,,,,,,,,
,age-35_44,,,,,,,,,
,age-45_54,,,,,,,,,
,age-55_64,,,,,,,,,
,age-65_plus,,,,,,,,,
,housing-housing_estate,,,,,,,,,
,housing-satellite_city,,,,,,,,,
,housing-village,,,,,,,,,
,garden_animals-gardening,,,,,,,,,
,garden_animals-balcony,,,,,,,,,
,garden_animals-animals_small,,,,,,,,,
,garden_animals-animals_big,,,,,,,,,
,repairing-me,,,,,,,,,
,repairing-not_me,,,,,,,,,
,houseworks-cooking,,,,,,,,,
,houseworks-tidy,,,,,,,,,
,houseworks-laundry,,,,,,,,,
,houseworks-animals,,,,,,,,,
,mobile_os-old,,,,,,,,,
,plan-chata,,,,,,,,,
,plan-rekonstrukce_chata,,,,,,,,,
,energy_supplier-me,,,,,,,,,
,energy_supplier-else,,,,,,,,,
,plyn-yes,,,,,,,,,
,other_electronics-naramek_owner,,,,,,,,,
,other_electronics-tablet_owner,,,,,,,,,
,other_electronics-laptop_owner,,,,,,,,,
,other_electronics-pc_owner,,,,,,,,,
,emobility_use-elektromobil,,,,,,,,,
,emobility_use-ekolo,,,,,,,,,
,emobility_use-ekolobezka,,,,,,,,,
,emobility_use-eskutr,,,,,,,,,
,income_situation_new-financial_problems,,,,,,,,,
,income_situation_new-from_month_to_month,,,,,,,,,
,income_situation_new-save_alittle,,,,,,,,,
